"FECHA","FUENTE","TEXTO","LINK ","ETIQUETA"
"1/1/2016","WWF LIVING AMAZON REPORT 2016.","EL AUMENTO DE LAS REPRESAS EN LA AMAZONIA AMENAZA EL FLUJO NATURAL DE SUS RIOS, ALTERA LOS CICLOS NATURALES Y PONE EN GRAVE RIESGO ESPECIES COMO LOS DELFINES Y PECES MIGRATORIOS. EL SUMINISTRO DE AGUA PARA LAS COMUNIDADES LOCALES Y EL TRANSPORTE DE ALIMENTOS, TAMBIÉN SE VEN AFECTADOS POR CUENTA DE LA PRODUCCIÓN DE ENERGIA EN LA SELVA AMAZÓNICA. EN LA AMAZONIA HAY 154 REPRESAS PARA LA PRODUCCIÓN DE ENERGIA HIDROELÉCTRICA Y SE PLANEA LA CONSTRUCCIÓN DE OTRAS 277 EN LOS PRÓXIMOS AÑOS.","https://www.wwf.org.co/_donde_trabajamos_/amazonas/las_seis_grandes_amenazas_de_la_amazonia/#:~:text=Desde%20el%20año%202000%20hasta,la%20deforestación%20en%20la%20región.","OTROS"
"1/1/2016","WWF LIVING AMAZON REPORT 2016.","LAS CARRETERAS, LAS VIAS FÉRREAS Y LAS NUEVAS RUTAS DE TRANSPORTE FLUVIAL ESTÁN TRANSFORMANDO LA AMAZONIA. ACTUALMENTE DECENAS DE MILES DE KILÓMETROS DE CARRETERAS ATRAVIESAN SUS BOSQUES; Y LA CONSTRUCCIÓN DE NUEVAS RUTAS SEGUIRÁ AUMENTANDO. EN ESTE MOMENTO MÁS DE 20 PROYECTOS DE CONSTRUCCIÓN DE CARRETERAS GIGANTES EJERCEN PRESIÓN SOBRE LA AMAZONIA, LO QUE PUEDE GENERAR UN RÁPIDO AUMENTO DE LA PÉRDIDA DE BOSQUES.","https://www.wwf.org.co/_donde_trabajamos_/amazonas/las_seis_grandes_amenazas_de_la_amazonia/#:~:text=Desde%20el%20año%202000%20hasta,la%20deforestación%20en%20la%20región.","DEFORESTACION"
"6/6/2015","EL TIEMPO ","LA AFECTACIÓN AMBIENTAL OCASIONADA POR EL DERRAME DE CERCA DE 130.000 GALONES DE CRUDO OBLIGADO POR LAS FARC EN PUTUMAYO SE PROLONGA POR MESES, E INCLUSO AÑOS, EN LA VEGETACIÓN Y LAS FUENTES HIDRICAS.","https://www.eltiempo.com/archivo/documento/CMS-15924297","CONTAMINACION"
"1/1/2014","CORPOAMAZONIA ","AFECTACIÓN POR CONTAMINACION CON HIDROCARBUROS EN AFLUENTES HIDRICOS EN PUERTO ASIS QUE PRESTA EL SERVICIO A 9.000 HABITANTES DEL MUNICIPIO. SOBRE ESTA SITUACIÓN SE BUSCA LA IDENTIFICACIÓN Y EVALUACIÓN PARA DETERMINAR EL GRADO DE CONTAMINACIÓN DE LA QUEBRADA AGUA NEGRA QUE SURTE AGUA PARA EL CINSUMO DEL MUNICIPIO.","https://www.corpoamazonia.gov.co/index.php/noticias/426-corpoamazonia-evalua-afectaciones-ambientales-por-derrame-de-crudo-en-puerto-asis-y-orito","CONTAMINACION"
"10/5/2019","NOTICIAS RCN ","EN 2019 SE HAN REGISTRADO 19 ATENTADOS CONTRA ESTE OLEODUCTO QUE TRANSPORTA EL CRUDO ENTRE PUTUMAYO Y NARIÑO HACIA EL PUERTO DE TUMACO, EN EL PACIFICO. EL DERRAME DE CRUDO AFECTO EL RIO GUAMUEZ EN ORITO PUTUMAYO.","https://www.noticiasrcn.com/nacional/derrame-de-crudo-en-rio-guamuez-tras-atentado-oleoducto-trasandino-en-orito-putumayo-347995","CONTAMINACION"
"6/9/2015","MINAMBIENTE.GOV","EL DERRAME DEL HIDROCARBURO AFECTÓ 9 HUMEDALES; 7 EN LA VEREDA LAS CABAÑAS Y 2 MÁS EN LA VEREDA DE SANTA ROSA, LO QUE SUMA 3,5 HECTÁREAS DE HUMEDALES AFECTADOS, CAUSANDO UN GRAVE DETERIORO AL ECOSISTEMA DE FAUNA Y FLORA EN LA REGIÓN.","https://archivo.minambiente.gov.co/index.php/noticias-minambiente/1846-graves-e-irreversibles-danos-ambientales-causo-derrame-de-crudo-en-putumayo-ministro-vallejo","CONTAMINACION"
"6/23/2020","SEMANA","EN LAS LOCALIDADES DE CURILLO, SOLITA Y SOLANO FUE DECLARADA LA EMERGENCIA SANITARIA PARA PREVENIR LA CAPTACIÓN DE AGUA PARA SUS ACUEDUCTOS. EMPRESA PETROLERA ACTIVÓ PLAN DE CONTINGENCIA. SE CREE QUE CONTAMINACIÓN FUE PRODUCIDA POR UNA EXTRACCIÓN ILEGAL DE CRUDO.","https://www.semana.com/medio-ambiente/articulo/derrame-de-petroleo-afecta-a-tres-poblaciones-del-caqueta/52245/","CONTAMINACION"
"6/23/2020","RTVC","COMUNIDADES QUE HABITAN EN LA INSPECCIÓN DE PUERTO LIMÓN EVIDENCIARON LOS OLORES A PETRÓLEO EN EL MOMENTO QUE CRECIA EL RIO MOCOA POR LAS FUERTES LLUVIAS EN LA ZONA. SE TRATÓ DEL DAÑO EN LA TUBERIA QUE ATRAVIESA EL RIO Y CONDUCE GAS Y CRUDO LO QUE ORIGINÓ LA CONTAMINACIÓN HACIA AGUAS DEL RIO CAQUETÁ.","https://www.radionacional.co/actualidad/medio-ambiente/contaminados-los-rios-mocoa-y-caqueta-por-vertimiento-de-petroleo","CONTAMINACION"
"1/26/2022","CARACOL RADIO","AUTORIDADES EVALÚAN DAÑOS AMBIENTALES GENERADOS POR EL DERRAME DE CRUDO; A CAUSA DEL ATAQUE PERPETRADO CONTRA DOS CARROTANQUES EN LA VIA QUE DE PUERTO RICO CONDUCE HACIA SAN VICENTE DEL CAGUÁN EN EL NORTE DEL CAQUETÁ.","https://caracol.com.co/emisora/2022/01/26/neiva/1643211475_197403.html","CONTAMINACION"
"1/17/2022","WRADIO ","UNA EMBARCACIÓN NAUFRAGÓ EN EL RIO CON 12.000 GALONES DE GASOLINA Y 8.000 DE ACPM. EL BARCO “LUNA AZUL” DE LA EMPRESA TRANSPORTES CARIBE, QUE CUBRIA LA RUTA PUERTO ASIS- PUERTO LEGUIZAMO, SE VOLTEÓ A 20 KILÓMETROS DEL DESTINO.","https://www.wradio.com.co/2023/06/01/solucion-electrica-en-plato-magdalena-implica-intervencion-de-afinia-air-e/","CONTAMINACION"
